Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Protein stable ID,Protein stable ID version,Gene name,Transcript name
ENSG00000198888,ENSG00000198888.2,ENST00000361390,ENST00000361390.2,ENSP00000354687,ENSP00000354687.2,MT-ND1,MT-ND1-201
ENSG00000198763,ENSG00000198763.3,ENST00000361453,ENST00000361453.3,ENSP00000355046,ENSP00000355046.4,MT-ND2,MT-ND2-201
ENSG00000198804,ENSG00000198804.2,ENST00000361624,ENST00000361624.2,ENSP00000354499,ENSP00000354499.2,MT-CO1,MT-CO1-201
ENSG00000198712,ENSG00000198712.1,ENST00000361739,ENST00000361739.1,ENSP00000354876,ENSP00000354876.1,MT-CO2,MT-CO2-201
ENSG00000228253,ENSG00000228253.1,ENST00000361851,ENST00000361851.1,ENSP00000355265,ENSP00000355265.1,MT-ATP8,MT-ATP8-201
ENSG00000198899,ENSG00000198899.2,ENST00000361899,ENST00000361899.2,ENSP00000354632,ENSP00000354632.2,MT-ATP6,MT-ATP6-201
ENSG00000198938,ENSG00000198938.2,ENST00000362079,ENST00000362079.2,ENSP00000354982,ENSP00000354982.2,MT-CO3,MT-CO3-201
ENSG00000198840,ENSG00000198840.2,ENST00000361227,ENST00000361227.2,ENSP00000355206,ENSP00000355206.2,MT-ND3,MT-ND3-201
ENSG00000212907,ENSG00000212907.2,ENST00000361335,ENST00000361335.1,ENSP00000354728,ENSP00000354728.1,MT-ND4L,MT-ND4L-201
ENSG00000198886,ENSG00000198886.2,ENST00000361381,ENST00000361381.2,ENSP00000354961,ENSP00000354961.2,MT-ND4,MT-ND4-201
ENSG00000198786,ENSG00000198786.2,ENST00000361567,ENST00000361567.2,ENSP00000354813,ENSP00000354813.2,MT-ND5,MT-ND5-201
ENSG00000198695,ENSG00000198695.2,ENST00000361681,ENST00000361681.2,ENSP00000354665,ENSP00000354665.2,MT-ND6,MT-ND6-201
ENSG00000198727,ENSG00000198727.2,ENST00000361789,ENST00000361789.2,ENSP00000354554,ENSP00000354554.2,MT-CYB,MT-CYB-201
ENSG00000278704,ENSG00000278704.1,ENST00000618686,ENST00000618686.1,ENSP00000484918,ENSP00000484918.1,,
ENSG00000262826,ENSG00000262826.5,ENST00000576030,ENST00000576030.5,ENSP00000460221,ENSP00000460221.1,INTS3,INTS3-219
ENSG00000262826,ENSG00000262826.5,ENST00000571768,ENST00000571768.5,ENSP00000458631,ENSP00000458631.1,INTS3,INTS3-212
ENSG00000262826,ENSG00000262826.5,ENST00000576422,ENST00000576422.4,ENSP00000459907,ENSP00000459907.1,INTS3,INTS3-220
ENSG00000275717,ENSG00000275717.5,ENST00000619211,ENST00000619211.4,ENSP00000478759,ENSP00000478759.1,KIR3DL1,KIR3DL1-221
ENSG00000275717,ENSG00000275717.5,ENST00000619277,ENST00000619277.4,ENSP00000481266,ENSP00000481266.1,KIR3DL1,KIR3DL1-222
ENSG00000275717,ENSG00000275717.5,ENST00000611230,ENST00000611230.4,ENSP00000483200,ENSP00000483200.1,KIR3DL1,KIR3DL1-220
ENSG00000276379,ENSG00000276379.1,ENST00000612571,ENST00000612571.1,ENSP00000484895,ENSP00000484895.1,KIR3DL1,KIR3DL1-227
ENSG00000271254,ENSG00000271254.7,ENST00000614336,ENST00000614336.4,ENSP00000484923,ENSP00000484923.1,,
ENSG00000271254,ENSG00000271254.7,ENST00000612640,ENST00000612640.4,ENSP00000478665,ENSP00000478665.1,,
ENSG00000275047,ENSG00000275047.1,ENST00000614053,ENST00000614053.1,ENSP00000482547,ENSP00000482547.1,KIR2DS5,KIR2DS5-204
ENSG00000277355,ENSG00000277355.4,ENST00000613442,ENST00000613442.4,ENSP00000483336,ENSP00000483336.1,KIR2DL4,KIR2DL4-262
ENSG00000277355,ENSG00000277355.4,ENST00000620905,ENST00000620905.1,ENSP00000482186,ENSP00000482186.1,KIR2DL4,KIR2DL4-263
ENSG00000276820,ENSG00000276820.1,ENST00000616175,ENST00000616175.1,ENSP00000481123,ENSP00000481123.1,KIR2DL1,KIR2DL1-219
ENSG00000277554,ENSG00000277554.5,ENST00000614792,ENST00000614792.4,ENSP00000481237,ENSP00000481237.1,KIR2DL3,KIR2DL3-218
ENSG00000276885,ENSG00000276885.1,ENST00000611311,ENST00000611311.1,ENSP00000484123,ENSP00000484123.1,KIR2DS4,KIR2DS4-227
ENSG00000276858,ENSG00000276858.4,ENST00000614954,ENST00000614954.4,ENSP00000479924,ENSP00000479924.1,FCAR,FCAR-294
ENSG00000276858,ENSG00000276858.4,ENST00000622883,ENST00000622883.4,ENSP00000479880,ENSP00000479880.1,FCAR,FCAR-302
ENSG00000276858,ENSG00000276858.4,ENST00000613199,ENST00000613199.4,ENSP00000478465,ENSP00000478465.1,FCAR,FCAR-293
ENSG00000276858,ENSG00000276858.4,ENST00000621684,ENST00000621684.4,ENSP00000479239,ENSP00000479239.1,FCAR,FCAR-300
ENSG00000276858,ENSG00000276858.4,ENST00000619414,ENST00000619414.4,ENSP00000478163,ENSP00000478163.1,FCAR,FCAR-298
ENSG00000276858,ENSG00000276858.4,ENST00000620162,ENST00000620162.4,ENSP00000483258,ENSP00000483258.1,FCAR,FCAR-299
ENSG00000276858,ENSG00000276858.4,ENST00000610786,ENST00000610786.4,ENSP00000483121,ENSP00000483121.1,FCAR,FCAR-290
ENSG00000276858,ENSG00000276858.4,ENST00000615040,ENST00000615040.4,ENSP00000477656,ENSP00000477656.1,FCAR,FCAR-295
ENSG00000276858,ENSG00000276858.4,ENST00000622470,ENST00000622470.1,ENSP00000477673,ENSP00000477673.1,FCAR,FCAR-301
ENSG00000278306,ENSG00000278306.1,ENST00000613265,ENST00000613265.1,ENSP00000480969,ENSP00000480969.1,KIR2DS3,KIR2DS3-205
ENSG00000277334,ENSG00000277334.4,ENST00000611233,ENST00000611233.4,ENSP00000477986,ENSP00000477986.1,NCR1,NCR1-243
ENSG00000277334,ENSG00000277334.4,ENST00000616389,ENST00000616389.4,ENSP00000483780,ENSP00000483780.1,NCR1,NCR1-245
ENSG00000277334,ENSG00000277334.4,ENST00000621993,ENST00000621993.4,ENSP00000484847,ENSP00000484847.1,NCR1,NCR1-246
ENSG00000277334,ENSG00000277334.4,ENST00000611122,ENST00000611122.1,ENSP00000479161,ENSP00000479161.1,NCR1,NCR1-242
ENSG00000278074,ENSG00000278074.1,ENST00000618297,ENST00000618297.1,ENSP00000477886,ENSP00000477886.1,KIR2DL4,KIR2DL4-275
ENSG00000275511,ENSG00000275511.4,ENST00000615208,ENST00000615208.4,ENSP00000478836,ENSP00000478836.1,KIR3DL2,KIR3DL2-214
ENSG00000275511,ENSG00000275511.4,ENST00000617684,ENST00000617684.1,ENSP00000481788,ENSP00000481788.1,KIR3DL2,KIR3DL2-215
ENSG00000277272,ENSG00000277272.5,ENST00000612415,ENST00000612415.4,ENSP00000481576,ENSP00000481576.1,KIR3DL1,KIR3DL1-232
ENSG00000277272,ENSG00000277272.5,ENST00000620450,ENST00000620450.2,ENSP00000478631,ENSP00000478631.1,KIR3DL1,KIR3DL1-233
ENSG00000275407,ENSG00000275407.1,ENST00000618796,ENST00000618796.1,ENSP00000481907,ENSP00000481907.1,KIR2DL2,KIR2DL2-204
ENSG00000275699,ENSG00000275699.4,ENST00000618607,ENST00000618607.4,ENSP00000479014,ENSP00000479014.1,KIR2DL4,KIR2DL4-243
ENSG00000275699,ENSG00000275699.4,ENST00000621258,ENST00000621258.3,ENSP00000480197,ENSP00000480197.1,KIR2DL4,KIR2DL4-245
ENSG00000275699,ENSG00000275699.4,ENST00000621773,ENST00000621773.3,ENSP00000481942,ENSP00000481942.1,KIR2DL4,KIR2DL4-246
ENSG00000275699,ENSG00000275699.4,ENST00000621182,ENST00000621182.3,ENSP00000479175,ENSP00000479175.1,KIR2DL4,KIR2DL4-244
ENSG00000273947,ENSG00000273947.5,ENST00000616520,ENST00000616520.4,ENSP00000482248,ENSP00000482248.1,KIR2DL3,KIR2DL3-203
ENSG00000275786,ENSG00000275786.5,ENST00000621071,ENST00000621071.4,ENSP00000478110,ENSP00000478110.1,KIR3DL1,KIR3DL1-225
ENSG00000275786,ENSG00000275786.5,ENST00000619931,ENST00000619931.4,ENSP00000483664,ENSP00000483664.1,KIR3DL1,KIR3DL1-223
ENSG00000275786,ENSG00000275786.5,ENST00000620834,ENST00000620834.4,ENSP00000479469,ENSP00000479469.1,KIR3DL1,KIR3DL1-224
ENSG00000278731,ENSG00000278731.5,ENST00000616831,ENST00000616831.4,ENSP00000482201,ENSP00000482201.1,KIR2DL2,KIR2DL2-216
ENSG00000275732,ENSG00000275732.4,ENST00000616375,ENST00000616375.4,ENSP00000484171,ENSP00000484171.1,KIR2DL4,KIR2DL4-247
ENSG00000275732,ENSG00000275732.4,ENST00000620369,ENST00000620369.1,ENSP00000480253,ENSP00000480253.1,KIR2DL4,KIR2DL4-248
ENSG00000273775,ENSG00000273775.5,ENST00000613869,ENST00000613869.4,ENSP00000479177,ENSP00000479177.1,KIR3DL1,KIR3DL1-206
ENSG00000273775,ENSG00000273775.5,ENST00000615036,ENST00000615036.2,ENSP00000484234,ENSP00000484234.1,KIR3DL1,KIR3DL1-207
ENSG00000277484,ENSG00000277484.5,ENST00000611369,ENST00000611369.4,ENSP00000483975,ENSP00000483975.1,KIR2DL3,KIR2DL3-217
ENSG00000278805,ENSG00000278805.1,ENST00000614564,ENST00000614564.1,ENSP00000478895,ENSP00000478895.1,KIR2DL1,KIR2DL1-232
ENSG00000277620,ENSG00000277620.1,ENST00000614190,ENST00000614190.1,ENSP00000478741,ENSP00000478741.1,KIR3DL3,KIR3DL3-232
ENSG00000276779,ENSG00000276779.1,ENST00000618567,ENST00000618567.1,ENSP00000482383,ENSP00000482383.1,KIR2DL4,KIR2DL4-254
ENSG00000273575,ENSG00000273575.4,ENST00000621484,ENST00000621484.4,ENSP00000484019,ENSP00000484019.1,KIR2DL4,KIR2DL4-216
ENSG00000273575,ENSG00000273575.4,ENST00000613149,ENST00000613149.4,ENSP00000484890,ENSP00000484890.1,KIR2DL4,KIR2DL4-212
ENSG00000273575,ENSG00000273575.4,ENST00000614680,ENST00000614680.4,ENSP00000477984,ENSP00000477984.1,KIR2DL4,KIR2DL4-213
ENSG00000273575,ENSG00000273575.4,ENST00000615396,ENST00000615396.4,ENSP00000479000,ENSP00000479000.1,KIR2DL4,KIR2DL4-214
ENSG00000273575,ENSG00000273575.4,ENST00000610608,ENST00000610608.1,ENSP00000484815,ENSP00000484815.1,KIR2DL4,KIR2DL4-211
ENSG00000276424,ENSG00000276424.4,ENST00000618616,ENST00000618616.4,ENSP00000484092,ENSP00000484092.1,KIR3DL2,KIR3DL2-229
ENSG00000276424,ENSG00000276424.4,ENST00000615712,ENST00000615712.1,ENSP00000478587,ENSP00000478587.1,KIR3DL2,KIR3DL2-228
ENSG00000275237,ENSG00000275237.4,ENST00000622348,ENST00000622348.4,ENSP00000484336,ENSP00000484336.1,KIR2DL4,KIR2DL4-236
ENSG00000275237,ENSG00000275237.4,ENST00000619946,ENST00000619946.1,ENSP00000477834,ENSP00000477834.1,KIR2DL4,KIR2DL4-235
